[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3823624112.20733,02/27/2021,9:48 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK159,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,0.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.29,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3823625115.80604,5.00273561477661,-70000.3359375,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99636268615723,5.00259399414063,-70000.3359375,-70000.3359375,,,3.92370247840881,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00300598144531,0,4232056832,4.99982497566625,,,-0.0432166903777341,0.00225557855566332,-0.0452427160304751,0.00225734907267124,0.705365300178528,0.972612500190735,30.2790298461914,0,35,4,200,-0.00217400467954576,-4.49542665481567,4.50534343719482,1,,,,,,,,,,,,,,,,
,3823625149.90589,5.0036928653717,-65000.47265625,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99828338623047,5.00391292572022,-65000.47265625,-65000.47265625,,,3.92705154418945,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00347280502319,0,4232057920,5.00123538970947,,,-0.0432067674029922,0.00225602762009594,-0.0452554508916231,0.00225791855989189,0.70403927564621,0.973689258098602,30.2730598449707,,35,4,200,0.000565427297260612,-0.504529774188995,1.83124458789825,1,,,,,,,,,,,,,,,,
,3823625180.90933,5.00304627418518,-60000.44140625,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99725961685181,5.00307130813599,-60000.44140625,-60000.44140625,,,3.93022799491882,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00336313247681,0,4232058208,5.00023169517517,,,-0.0431914760986926,0.00225620247946745,-0.0452608280572084,0.00225810806750454,0.702713429927826,0.975059747695923,30.2669467926025,0,35,4,200,0.00145573855843395,-0.486781656742096,1.83191120624542,1,,,,,,,,,,,,,,,,
,3823625211.45535,5.00280547142029,-55000.33203125,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99718809127808,5.00304841995239,-55000.33203125,-55000.33203125,,,3.93287038803101,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00324630737305,0,4232058368,5.00026216506958,,,-0.0431744720163745,0.00225620945344142,-0.0452616513966731,0.00225807617866912,0.701498448848724,0.976375937461853,30.2614822387695,5.50104379653931,35,4,200,0.00204447680152953,-0.481445282697678,1.83253467082977,1,,,,,,,,,,,,,,,,
,3823625242.71215,5.00277018547058,-50000.21875,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99696493148804,5.00273180007935,-50000.21875,-50000.21875,,,3.93471503257751,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00319862365723,0,4232712192,5.00003423690796,,,-0.0431581746884439,0.00225610952544838,-0.0452618691234619,0.00225802075117896,0.700484335422516,0.977664470672607,30.2565441131592,0,35,4,200,0.00223723612725735,-0.484096556901932,1.83838582038879,1,,,,,,,,,,,,,,,,
,3823625272.50648,5.00251293182373,-45000.2890625,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99704074859619,5.00247669219971,-45000.2890625,-45000.2890625,,,3.9349901676178,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00266075134277,0,4232057824,5.00002126693726,,,-0.0431311500320372,0.00225537896380393,-0.0452485572342789,0.00225729052411529,0.699566423892975,0.979012727737427,30.2522621154785,0,35,4,200,0.00251478189602494,-0.478109925985336,1.84087800979614,1,,,,,,,,,,,,,,,,
,3823625304.34308,5.00199842453003,-40000.30078125,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.9964165687561,5.00187683105469,-40000.30078125,-40000.30078125,,,3.93226790428162,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00221014022827,0,4232058240,4.99914150238037,,,-0.0431036819151367,0.00225456589062236,-0.0452331671792844,0.00225646495321848,0.698730230331421,0.980264067649841,30.2484111785889,0,35,4,200,0.00260095740668476,-0.468935012817383,1.83694863319397,1,,,,,,,,,,,,,,,,
,3823625333.47898,5.00291609764099,-35000.40625,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99735927581787,5.00282430648804,-35000.40625,-35000.40625,,,3.93165016174316,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.00324583053589,0,4232058368,5.00042281150818,,,-0.0430689190804049,0.00225327216883915,-0.0452098483475922,0.0022552490839962,0.698027908802033,0.981472849845886,30.2449684143066,0,35,4,200,0.0027106823399663,-0.464239984750748,1.83864510059357,1,,,,,,,,,,,,,,,,
,3823625364.64809,5.00076961517334,-30000.369140625,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99510431289673,5.00078868865967,-30000.369140625,-30000.369140625,,,3.9268856048584,,1,0,0,0,0.013885498046875,31.2805480957031,1,1,1,5.0011682510376,0,4232058048,4.99817390441895,,,-0.0430259190336608,0.00225149958543405,-0.045176521273616,0.00225353849954748,0.697391510009766,0.982673466205597,30.2419872283936,,35,4,200,0.00268958974629641,-0.460660308599472,1.83974647521973,1,,,,,,,,,,,,,,,,
,3823625394.29934,5.00232005119324,-25000.416015625,,,6,,,,31.4133701324463,,,100,,,,,,,,,,,,,,,,,,,,,,4.99667453765869,5.00294637680054,-25000.416015625,-25000.416015625,,,3.92047810554504,,1,0,0,0,0.013885498046875,31.7693061828613,1,1,1,5.00311422348022,0,4232058016,4.99975423812866,,,-0.0429732636846448,0.00224905089756755,-0.0451284833529693,0.00225109886628162,0.696982443332672,0.983823597431183,30.2394771575928,,35,4,200,0.00267341476865113,-0.460140287876129,1.83722102642059,1,,,,,,,,,,,,,,,,
